crop,collection_date,genotype,individual,image_path
wheat,1,17,10,../data/wheat/images\1_17_10.jpg
wheat,1,17,2,../data/wheat/images\1_17_2.jpg
wheat,1,17,3,../data/wheat/images\1_17_3.jpg
wheat,1,17,4,../data/wheat/images\1_17_4.jpg
wheat,1,17,5,../data/wheat/images\1_17_5.jpg
wheat,1,17,6,../data/wheat/images\1_17_6.jpg
wheat,1,17,7,../data/wheat/images\1_17_7.jpg
wheat,1,17,8,../data/wheat/images\1_17_8.jpg
wheat,1,17,9,../data/wheat/images\1_17_9.jpg
wheat,1,18,1,../data/wheat/images\1_18_1.jpg
wheat,1,18,10,../data/wheat/images\1_18_10.jpg
wheat,1,18,2,../data/wheat/images\1_18_2.jpg
wheat,1,18,3,../data/wheat/images\1_18_3.jpg
wheat,1,18,4,../data/wheat/images\1_18_4.jpg
wheat,1,18,5,../data/wheat/images\1_18_5.jpg
wheat,1,18,6,../data/wheat/images\1_18_6.jpg
wheat,1,18,7,../data/wheat/images\1_18_7.jpg
wheat,1,18,8,../data/wheat/images\1_18_8.jpg
wheat,1,18,9,../data/wheat/images\1_18_9.jpg
wheat,1,19,1,../data/wheat/images\1_19_1.jpg
wheat,1,19,10,../data/wheat/images\1_19_10.jpg
wheat,1,19,2,../data/wheat/images\1_19_2.jpg
wheat,1,19,3,../data/wheat/images\1_19_3.jpg
wheat,1,19,4,../data/wheat/images\1_19_4.jpg
wheat,1,19,5,../data/wheat/images\1_19_5.jpg
wheat,1,19,6,../data/wheat/images\1_19_6.jpg
wheat,1,19,7,../data/wheat/images\1_19_7.jpg
wheat,1,19,8,../data/wheat/images\1_19_8.jpg
wheat,1,19,9,../data/wheat/images\1_19_9.jpg
wheat,1,1,1,../data/wheat/images\1_1_1.jpg
wheat,1,1,10,../data/wheat/images\1_1_10.jpg
wheat,1,1,2,../data/wheat/images\1_1_2.jpg
wheat,1,1,3,../data/wheat/images\1_1_3.jpg
wheat,1,1,4,../data/wheat/images\1_1_4.jpg
wheat,1,1,5,../data/wheat/images\1_1_5.jpg
wheat,1,1,6,../data/wheat/images\1_1_6.jpg
wheat,1,1,7,../data/wheat/images\1_1_7.jpg
wheat,1,1,8,../data/wheat/images\1_1_8.jpg
wheat,1,1,9,../data/wheat/images\1_1_9.jpg
wheat,1,20,1,../data/wheat/images\1_20_1.jpg
wheat,1,20,10,../data/wheat/images\1_20_10.jpg
wheat,1,20,2,../data/wheat/images\1_20_2.jpg
wheat,1,20,3,../data/wheat/images\1_20_3.jpg
wheat,1,20,4,../data/wheat/images\1_20_4.jpg
wheat,1,20,5,../data/wheat/images\1_20_5.jpg
wheat,1,20,6,../data/wheat/images\1_20_6.jpg
wheat,1,20,7,../data/wheat/images\1_20_7.jpg
wheat,1,20,8,../data/wheat/images\1_20_8.jpg
wheat,1,20,9,../data/wheat/images\1_20_9.jpg
wheat,1,21,1,../data/wheat/images\1_21_1.jpg
wheat,1,21,10,../data/wheat/images\1_21_10.jpg
wheat,1,21,2,../data/wheat/images\1_21_2.jpg
wheat,1,21,3,../data/wheat/images\1_21_3.jpg
wheat,1,21,4,../data/wheat/images\1_21_4.jpg
wheat,1,21,5,../data/wheat/images\1_21_5.jpg
wheat,1,21,6,../data/wheat/images\1_21_6.jpg
wheat,1,21,7,../data/wheat/images\1_21_7.jpg
wheat,1,21,8,../data/wheat/images\1_21_8.jpg
wheat,1,21,9,../data/wheat/images\1_21_9.jpg
wheat,1,22,1,../data/wheat/images\1_22_1.jpg
wheat,1,22,10,../data/wheat/images\1_22_10.jpg
wheat,1,22,2,../data/wheat/images\1_22_2.jpg
wheat,1,22,3,../data/wheat/images\1_22_3.jpg
wheat,1,22,4,../data/wheat/images\1_22_4.jpg
wheat,1,22,5,../data/wheat/images\1_22_5.jpg
wheat,1,22,6,../data/wheat/images\1_22_6.jpg
wheat,1,22,7,../data/wheat/images\1_22_7.jpg
wheat,1,22,8,../data/wheat/images\1_22_8.jpg
wheat,1,22,9,../data/wheat/images\1_22_9.jpg
wheat,1,23,1,../data/wheat/images\1_23_1.jpg
wheat,1,23,10,../data/wheat/images\1_23_10.jpg
wheat,1,23,2,../data/wheat/images\1_23_2.jpg
wheat,1,23,3,../data/wheat/images\1_23_3.jpg
wheat,1,23,4,../data/wheat/images\1_23_4.jpg
wheat,1,23,5,../data/wheat/images\1_23_5.jpg
wheat,1,23,6,../data/wheat/images\1_23_6.jpg
wheat,1,23,7,../data/wheat/images\1_23_7.jpg
wheat,1,23,8,../data/wheat/images\1_23_8.jpg
wheat,1,23,9,../data/wheat/images\1_23_9.jpg
wheat,1,24,1,../data/wheat/images\1_24_1.jpg
wheat,1,24,10,../data/wheat/images\1_24_10.jpg
wheat,1,24,2,../data/wheat/images\1_24_2.jpg
wheat,1,24,3,../data/wheat/images\1_24_3.jpg
wheat,1,24,4,../data/wheat/images\1_24_4.jpg
wheat,1,24,5,../data/wheat/images\1_24_5.jpg
wheat,1,24,6,../data/wheat/images\1_24_6.jpg
wheat,1,24,7,../data/wheat/images\1_24_7.jpg
wheat,1,24,8,../data/wheat/images\1_24_8.jpg
wheat,1,24,9,../data/wheat/images\1_24_9.jpg
wheat,1,25,1,../data/wheat/images\1_25_1.jpg
wheat,1,25,10,../data/wheat/images\1_25_10.jpg
wheat,1,25,2,../data/wheat/images\1_25_2.jpg
wheat,1,25,3,../data/wheat/images\1_25_3.jpg
wheat,1,25,4,../data/wheat/images\1_25_4.jpg
wheat,1,25,5,../data/wheat/images\1_25_5.jpg
wheat,1,25,6,../data/wheat/images\1_25_6.jpg
wheat,1,25,7,../data/wheat/images\1_25_7.jpg
wheat,1,25,8,../data/wheat/images\1_25_8.jpg
wheat,1,25,9,../data/wheat/images\1_25_9.jpg
wheat,1,26,1,../data/wheat/images\1_26_1.jpg
wheat,1,26,10,../data/wheat/images\1_26_10.jpg
wheat,1,26,2,../data/wheat/images\1_26_2.jpg
wheat,1,26,3,../data/wheat/images\1_26_3.jpg
wheat,1,26,4,../data/wheat/images\1_26_4.jpg
wheat,1,26,5,../data/wheat/images\1_26_5.jpg
wheat,1,26,6,../data/wheat/images\1_26_6.jpg
wheat,1,26,7,../data/wheat/images\1_26_7.jpg
wheat,1,26,8,../data/wheat/images\1_26_8.jpg
wheat,1,26,9,../data/wheat/images\1_26_9.jpg
wheat,1,27,1,../data/wheat/images\1_27_1.jpg
wheat,1,27,10,../data/wheat/images\1_27_10.jpg
wheat,1,27,2,../data/wheat/images\1_27_2.jpg
wheat,1,27,3,../data/wheat/images\1_27_3.jpg
wheat,1,27,4,../data/wheat/images\1_27_4.jpg
wheat,1,27,5,../data/wheat/images\1_27_5.jpg
wheat,1,27,6,../data/wheat/images\1_27_6.jpg
wheat,1,27,7,../data/wheat/images\1_27_7.jpg
wheat,1,27,8,../data/wheat/images\1_27_8.jpg
wheat,1,27,9,../data/wheat/images\1_27_9.jpg
wheat,1,28,1,../data/wheat/images\1_28_1.jpg
wheat,1,28,10,../data/wheat/images\1_28_10.jpg
wheat,1,28,2,../data/wheat/images\1_28_2.jpg
wheat,1,28,3,../data/wheat/images\1_28_3.jpg
wheat,1,28,4,../data/wheat/images\1_28_4.jpg
wheat,1,28,5,../data/wheat/images\1_28_5.jpg
wheat,1,28,6,../data/wheat/images\1_28_6.jpg
wheat,1,28,7,../data/wheat/images\1_28_7.jpg
wheat,1,28,8,../data/wheat/images\1_28_8.jpg
wheat,1,28,9,../data/wheat/images\1_28_9.jpg
wheat,1,29,1,../data/wheat/images\1_29_1.jpg
wheat,1,29,10,../data/wheat/images\1_29_10.jpg
wheat,1,29,2,../data/wheat/images\1_29_2.jpg
wheat,1,29,3,../data/wheat/images\1_29_3.jpg
wheat,1,29,4,../data/wheat/images\1_29_4.jpg
wheat,1,29,5,../data/wheat/images\1_29_5.jpg
wheat,1,29,6,../data/wheat/images\1_29_6.jpg
wheat,1,29,7,../data/wheat/images\1_29_7.jpg
wheat,1,29,8,../data/wheat/images\1_29_8.jpg
wheat,1,29,9,../data/wheat/images\1_29_9.jpg
wheat,1,2,1,../data/wheat/images\1_2_1.jpg
wheat,1,2,10,../data/wheat/images\1_2_10.jpg
wheat,1,2,2,../data/wheat/images\1_2_2.jpg
wheat,1,2,3,../data/wheat/images\1_2_3.jpg
wheat,1,2,4,../data/wheat/images\1_2_4.jpg
wheat,1,2,5,../data/wheat/images\1_2_5.jpg
wheat,1,2,6,../data/wheat/images\1_2_6.jpg
wheat,1,2,7,../data/wheat/images\1_2_7.jpg
wheat,1,2,8,../data/wheat/images\1_2_8.jpg
wheat,1,2,9,../data/wheat/images\1_2_9.jpg
wheat,1,30,1,../data/wheat/images\1_30_1.jpg
wheat,1,30,10,../data/wheat/images\1_30_10.jpg
wheat,1,30,2,../data/wheat/images\1_30_2.jpg
wheat,1,30,3,../data/wheat/images\1_30_3.jpg
wheat,1,30,4,../data/wheat/images\1_30_4.jpg
wheat,1,30,5,../data/wheat/images\1_30_5.jpg
wheat,1,30,6,../data/wheat/images\1_30_6.jpg
wheat,1,30,7,../data/wheat/images\1_30_7.jpg
wheat,1,30,8,../data/wheat/images\1_30_8.jpg
wheat,1,30,9,../data/wheat/images\1_30_9.jpg
wheat,1,31,1,../data/wheat/images\1_31_1.jpg
wheat,1,31,10,../data/wheat/images\1_31_10.jpg
wheat,1,31,2,../data/wheat/images\1_31_2.jpg
wheat,1,31,3,../data/wheat/images\1_31_3.jpg
wheat,1,31,4,../data/wheat/images\1_31_4.jpg
wheat,1,31,5,../data/wheat/images\1_31_5.jpg
wheat,1,31,6,../data/wheat/images\1_31_6.jpg
wheat,1,31,7,../data/wheat/images\1_31_7.jpg
wheat,1,31,8,../data/wheat/images\1_31_8.jpg
wheat,1,31,9,../data/wheat/images\1_31_9.jpg
wheat,1,32,1,../data/wheat/images\1_32_1.jpg
wheat,1,32,10,../data/wheat/images\1_32_10.jpg
wheat,1,32,2,../data/wheat/images\1_32_2.jpg
wheat,1,32,3,../data/wheat/images\1_32_3.jpg
wheat,1,32,4,../data/wheat/images\1_32_4.jpg
wheat,1,32,5,../data/wheat/images\1_32_5.jpg
wheat,1,32,6,../data/wheat/images\1_32_6.jpg
wheat,1,32,7,../data/wheat/images\1_32_7.jpg
wheat,1,32,8,../data/wheat/images\1_32_8.jpg
wheat,1,32,9,../data/wheat/images\1_32_9.jpg
wheat,1,33,1,../data/wheat/images\1_33_1.jpg
wheat,1,33,10,../data/wheat/images\1_33_10.jpg
wheat,1,33,2,../data/wheat/images\1_33_2.jpg
wheat,1,33,3,../data/wheat/images\1_33_3.jpg
wheat,1,33,4,../data/wheat/images\1_33_4.jpg
wheat,1,33,5,../data/wheat/images\1_33_5.jpg
wheat,1,33,6,../data/wheat/images\1_33_6.jpg
wheat,1,33,7,../data/wheat/images\1_33_7.jpg
wheat,1,33,8,../data/wheat/images\1_33_8.jpg
wheat,1,33,9,../data/wheat/images\1_33_9.jpg
wheat,1,34,1,../data/wheat/images\1_34_1.jpg
wheat,1,34,10,../data/wheat/images\1_34_10.jpg
wheat,1,34,2,../data/wheat/images\1_34_2.jpg
wheat,1,34,3,../data/wheat/images\1_34_3.jpg
wheat,1,34,4,../data/wheat/images\1_34_4.jpg
wheat,1,34,5,../data/wheat/images\1_34_5.jpg
wheat,1,34,6,../data/wheat/images\1_34_6.jpg
wheat,1,34,7,../data/wheat/images\1_34_7.jpg
wheat,1,34,8,../data/wheat/images\1_34_8.jpg
wheat,1,34,9,../data/wheat/images\1_34_9.jpg
wheat,1,35,1,../data/wheat/images\1_35_1.jpg
wheat,1,35,10,../data/wheat/images\1_35_10.jpg
wheat,1,35,2,../data/wheat/images\1_35_2.jpg
wheat,1,35,3,../data/wheat/images\1_35_3.jpg
wheat,1,35,4,../data/wheat/images\1_35_4.jpg
wheat,1,35,5,../data/wheat/images\1_35_5.jpg
wheat,1,35,6,../data/wheat/images\1_35_6.jpg
wheat,1,35,7,../data/wheat/images\1_35_7.jpg
wheat,1,35,8,../data/wheat/images\1_35_8.jpg
wheat,1,35,9,../data/wheat/images\1_35_9.jpg
wheat,1,36,1,../data/wheat/images\1_36_1.jpg
wheat,1,36,10,../data/wheat/images\1_36_10.jpg
wheat,1,36,2,../data/wheat/images\1_36_2.jpg
wheat,1,36,3,../data/wheat/images\1_36_3.jpg
wheat,1,36,4,../data/wheat/images\1_36_4.jpg
wheat,1,36,5,../data/wheat/images\1_36_5.jpg
wheat,1,36,6,../data/wheat/images\1_36_6.jpg
wheat,1,36,7,../data/wheat/images\1_36_7.jpg
wheat,1,36,8,../data/wheat/images\1_36_8.jpg
wheat,1,36,9,../data/wheat/images\1_36_9.jpg
wheat,1,37,1,../data/wheat/images\1_37_1.jpg
wheat,1,37,10,../data/wheat/images\1_37_10.jpg
wheat,1,37,2,../data/wheat/images\1_37_2.jpg
wheat,1,37,3,../data/wheat/images\1_37_3.jpg
wheat,1,37,4,../data/wheat/images\1_37_4.jpg
wheat,1,37,5,../data/wheat/images\1_37_5.jpg
wheat,1,37,6,../data/wheat/images\1_37_6.jpg
wheat,1,37,7,../data/wheat/images\1_37_7.jpg
wheat,1,37,8,../data/wheat/images\1_37_8.jpg
wheat,1,37,9,../data/wheat/images\1_37_9.jpg
wheat,1,38,1,../data/wheat/images\1_38_1.jpg
wheat,1,38,10,../data/wheat/images\1_38_10.jpg
wheat,1,38,2,../data/wheat/images\1_38_2.jpg
wheat,1,38,3,../data/wheat/images\1_38_3.jpg
wheat,1,38,4,../data/wheat/images\1_38_4.jpg
wheat,1,38,5,../data/wheat/images\1_38_5.jpg
wheat,1,38,6,../data/wheat/images\1_38_6.jpg
wheat,1,38,7,../data/wheat/images\1_38_7.jpg
wheat,1,38,8,../data/wheat/images\1_38_8.jpg
wheat,1,38,9,../data/wheat/images\1_38_9.jpg
wheat,1,39,1,../data/wheat/images\1_39_1.jpg
wheat,1,39,10,../data/wheat/images\1_39_10.jpg
wheat,1,39,2,../data/wheat/images\1_39_2.jpg
wheat,1,39,3,../data/wheat/images\1_39_3.jpg
wheat,1,39,4,../data/wheat/images\1_39_4.jpg
wheat,1,39,5,../data/wheat/images\1_39_5.jpg
wheat,1,39,6,../data/wheat/images\1_39_6.jpg
wheat,1,39,7,../data/wheat/images\1_39_7.jpg
wheat,1,39,8,../data/wheat/images\1_39_8.jpg
wheat,1,39,9,../data/wheat/images\1_39_9.jpg
wheat,1,3,1,../data/wheat/images\1_3_1.jpg
wheat,1,3,10,../data/wheat/images\1_3_10.jpg
wheat,1,3,2,../data/wheat/images\1_3_2.jpg
wheat,1,3,3,../data/wheat/images\1_3_3.jpg
wheat,1,3,4,../data/wheat/images\1_3_4.jpg
wheat,1,3,5,../data/wheat/images\1_3_5.jpg
wheat,1,3,6,../data/wheat/images\1_3_6.jpg
wheat,1,3,7,../data/wheat/images\1_3_7.jpg
wheat,1,3,8,../data/wheat/images\1_3_8.jpg
wheat,1,3,9,../data/wheat/images\1_3_9.jpg
wheat,1,40,1,../data/wheat/images\1_40_1.jpg
wheat,1,40,10,../data/wheat/images\1_40_10.jpg
wheat,1,40,2,../data/wheat/images\1_40_2.jpg
wheat,1,40,3,../data/wheat/images\1_40_3.jpg
wheat,1,40,4,../data/wheat/images\1_40_4.jpg
wheat,1,40,5,../data/wheat/images\1_40_5.jpg
wheat,1,40,6,../data/wheat/images\1_40_6.jpg
wheat,1,40,7,../data/wheat/images\1_40_7.jpg
wheat,1,40,8,../data/wheat/images\1_40_8.jpg
wheat,1,40,9,../data/wheat/images\1_40_9.jpg
wheat,1,4,1,../data/wheat/images\1_4_1.jpg
wheat,1,4,10,../data/wheat/images\1_4_10.jpg
wheat,1,4,2,../data/wheat/images\1_4_2.jpg
wheat,1,4,3,../data/wheat/images\1_4_3.jpg
wheat,1,4,4,../data/wheat/images\1_4_4.jpg
wheat,1,4,5,../data/wheat/images\1_4_5.jpg
wheat,1,4,6,../data/wheat/images\1_4_6.jpg
wheat,1,4,7,../data/wheat/images\1_4_7.jpg
wheat,1,4,8,../data/wheat/images\1_4_8.jpg
wheat,1,4,9,../data/wheat/images\1_4_9.jpg
wheat,1,5,1,../data/wheat/images\1_5_1.jpg
wheat,1,5,10,../data/wheat/images\1_5_10.jpg
wheat,1,5,2,../data/wheat/images\1_5_2.jpg
wheat,1,5,3,../data/wheat/images\1_5_3.jpg
wheat,1,5,4,../data/wheat/images\1_5_4.jpg
wheat,1,5,5,../data/wheat/images\1_5_5.jpg
wheat,1,5,6,../data/wheat/images\1_5_6.jpg
wheat,1,5,7,../data/wheat/images\1_5_7.jpg
wheat,1,5,8,../data/wheat/images\1_5_8.jpg
wheat,1,5,9,../data/wheat/images\1_5_9.jpg
wheat,1,6,1,../data/wheat/images\1_6_1.jpg
wheat,1,6,10,../data/wheat/images\1_6_10.jpg
wheat,1,6,2,../data/wheat/images\1_6_2.jpg
wheat,1,6,3,../data/wheat/images\1_6_3.jpg
wheat,1,6,4,../data/wheat/images\1_6_4.jpg
wheat,1,6,5,../data/wheat/images\1_6_5.jpg
wheat,1,6,6,../data/wheat/images\1_6_6.jpg
wheat,1,6,7,../data/wheat/images\1_6_7.jpg
wheat,1,6,8,../data/wheat/images\1_6_8.jpg
wheat,1,6,9,../data/wheat/images\1_6_9.jpg
wheat,1,7,1,../data/wheat/images\1_7_1.jpg
wheat,1,7,10,../data/wheat/images\1_7_10.jpg
wheat,1,7,2,../data/wheat/images\1_7_2.jpg
wheat,1,7,3,../data/wheat/images\1_7_3.jpg
wheat,1,7,4,../data/wheat/images\1_7_4.jpg
wheat,1,7,5,../data/wheat/images\1_7_5.jpg
wheat,1,7,6,../data/wheat/images\1_7_6.jpg
wheat,1,7,7,../data/wheat/images\1_7_7.jpg
wheat,1,7,8,../data/wheat/images\1_7_8.jpg
wheat,1,7,9,../data/wheat/images\1_7_9.jpg
wheat,1,8,1,../data/wheat/images\1_8_1.jpg
wheat,1,8,10,../data/wheat/images\1_8_10.jpg
wheat,1,8,2,../data/wheat/images\1_8_2.jpg
wheat,1,8,3,../data/wheat/images\1_8_3.jpg
wheat,1,8,4,../data/wheat/images\1_8_4.jpg
wheat,1,8,5,../data/wheat/images\1_8_5.jpg
wheat,1,8,6,../data/wheat/images\1_8_6.jpg
wheat,1,8,7,../data/wheat/images\1_8_7.jpg
wheat,1,8,8,../data/wheat/images\1_8_8.jpg
wheat,1,8,9,../data/wheat/images\1_8_9.jpg
wheat,1,9,1,../data/wheat/images\1_9_1.jpg
wheat,1,9,10,../data/wheat/images\1_9_10.jpg
wheat,1,9,2,../data/wheat/images\1_9_2.jpg
wheat,1,9,3,../data/wheat/images\1_9_3.jpg
wheat,1,9,4,../data/wheat/images\1_9_4.jpg
wheat,1,9,5,../data/wheat/images\1_9_5.jpg
wheat,1,9,6,../data/wheat/images\1_9_6.jpg
wheat,1,9,7,../data/wheat/images\1_9_7.jpg
wheat,1,9,8,../data/wheat/images\1_9_8.jpg
wheat,1,9,9,../data/wheat/images\1_9_9.jpg
wheat,2,10,1,../data/wheat/images\2_10_1.jpg
wheat,2,10,10,../data/wheat/images\2_10_10.jpg
wheat,2,10,2,../data/wheat/images\2_10_2.jpg
wheat,2,10,3,../data/wheat/images\2_10_3.jpg
wheat,2,10,4,../data/wheat/images\2_10_4.jpg
wheat,2,10,5,../data/wheat/images\2_10_5.jpg
wheat,2,10,6,../data/wheat/images\2_10_6.jpg
wheat,2,10,7,../data/wheat/images\2_10_7.jpg
wheat,2,10,8,../data/wheat/images\2_10_8.jpg
wheat,2,10,9,../data/wheat/images\2_10_9.jpg
wheat,2,11,1,../data/wheat/images\2_11_1.jpg
wheat,2,11,10,../data/wheat/images\2_11_10.jpg
wheat,2,11,2,../data/wheat/images\2_11_2.jpg
wheat,2,11,3,../data/wheat/images\2_11_3.jpg
wheat,2,11,4,../data/wheat/images\2_11_4.jpg
wheat,2,11,5,../data/wheat/images\2_11_5.jpg
wheat,2,11,6,../data/wheat/images\2_11_6.jpg
wheat,2,11,7,../data/wheat/images\2_11_7.jpg
wheat,2,11,8,../data/wheat/images\2_11_8.jpg
wheat,2,11,9,../data/wheat/images\2_11_9.jpg
wheat,2,12,1,../data/wheat/images\2_12_1.jpg
wheat,2,12,10,../data/wheat/images\2_12_10.jpg
wheat,2,12,2,../data/wheat/images\2_12_2.jpg
wheat,2,12,3,../data/wheat/images\2_12_3.jpg
wheat,2,12,4,../data/wheat/images\2_12_4.jpg
wheat,2,12,5,../data/wheat/images\2_12_5.jpg
wheat,2,12,6,../data/wheat/images\2_12_6.jpg
wheat,2,12,7,../data/wheat/images\2_12_7.jpg
wheat,2,12,8,../data/wheat/images\2_12_8.jpg
wheat,2,12,9,../data/wheat/images\2_12_9.jpg
wheat,2,13,1,../data/wheat/images\2_13_1.jpg
wheat,2,13,10,../data/wheat/images\2_13_10.jpg
wheat,2,13,2,../data/wheat/images\2_13_2.jpg
wheat,2,13,3,../data/wheat/images\2_13_3.jpg
wheat,2,13,4,../data/wheat/images\2_13_4.jpg
wheat,2,13,5,../data/wheat/images\2_13_5.jpg
wheat,2,13,6,../data/wheat/images\2_13_6.jpg
wheat,2,13,7,../data/wheat/images\2_13_7.jpg
wheat,2,13,8,../data/wheat/images\2_13_8.jpg
wheat,2,13,9,../data/wheat/images\2_13_9.jpg
wheat,2,14,1,../data/wheat/images\2_14_1.jpg
wheat,2,14,10,../data/wheat/images\2_14_10.jpg
wheat,2,14,2,../data/wheat/images\2_14_2.jpg
wheat,2,14,3,../data/wheat/images\2_14_3.jpg
wheat,2,14,4,../data/wheat/images\2_14_4.jpg
wheat,2,14,5,../data/wheat/images\2_14_5.jpg
wheat,2,14,6,../data/wheat/images\2_14_6.jpg
wheat,2,14,7,../data/wheat/images\2_14_7.jpg
wheat,2,14,8,../data/wheat/images\2_14_8.jpg
wheat,2,14,9,../data/wheat/images\2_14_9.jpg
wheat,2,15,1,../data/wheat/images\2_15_1.jpg
wheat,2,15,10,../data/wheat/images\2_15_10.jpg
wheat,2,15,2,../data/wheat/images\2_15_2.jpg
wheat,2,15,3,../data/wheat/images\2_15_3.jpg
wheat,2,15,4,../data/wheat/images\2_15_4.jpg
wheat,2,15,5,../data/wheat/images\2_15_5.jpg
wheat,2,15,6,../data/wheat/images\2_15_6.jpg
wheat,2,15,7,../data/wheat/images\2_15_7.jpg
wheat,2,15,8,../data/wheat/images\2_15_8.jpg
wheat,2,15,9,../data/wheat/images\2_15_9.jpg
wheat,2,16,1,../data/wheat/images\2_16_1.jpg
wheat,2,16,10,../data/wheat/images\2_16_10.jpg
wheat,2,16,2,../data/wheat/images\2_16_2.jpg
wheat,2,16,3,../data/wheat/images\2_16_3.jpg
wheat,2,16,4,../data/wheat/images\2_16_4.jpg
wheat,2,16,5,../data/wheat/images\2_16_5.jpg
wheat,2,16,6,../data/wheat/images\2_16_6.jpg
wheat,2,16,7,../data/wheat/images\2_16_7.jpg
wheat,2,16,8,../data/wheat/images\2_16_8.jpg
wheat,2,16,9,../data/wheat/images\2_16_9.jpg
wheat,2,17,1,../data/wheat/images\2_17_1.jpg
wheat,2,17,10,../data/wheat/images\2_17_10.jpg
wheat,2,17,2,../data/wheat/images\2_17_2.jpg
wheat,2,17,3,../data/wheat/images\2_17_3.jpg
wheat,2,17,4,../data/wheat/images\2_17_4.jpg
wheat,2,17,5,../data/wheat/images\2_17_5.jpg
wheat,2,17,6,../data/wheat/images\2_17_6.jpg
wheat,2,17,7,../data/wheat/images\2_17_7.jpg
wheat,2,17,8,../data/wheat/images\2_17_8.jpg
wheat,2,17,9,../data/wheat/images\2_17_9.jpg
wheat,2,18,1,../data/wheat/images\2_18_1.jpg
